instance_id,flagged_path,oracle,manual,gold_files,independent_gold_files
aws-cloudformation__cfn-lint-3337,src/cfnlint/decode/decode.py,good,good,src/cfnlint/rules/resources/iam/Permissions.py,src/cfnlint/rules/resources/iam/Permissions.py
aws-cloudformation__cfn-lint-3346,src/cfnlint/data/schemas/patches/extensions/all/aws_ec2_launchtemplate/__init__.py,good,good,src/cfnlint/rules/functions/GetAttFormat.py,src/cfnlint/rules/functions/GetAttFormat.py
aws-cloudformation__cfn-lint-3372,src/cfnlint/rules/parameters/Types.py,good,good,src/cfnlint/context/context.py,src/cfnlint/context/context.py
aws-cloudformation__cfn-lint-3402,src/cfnlint/rules/functions/FindInMap.py,good,good,src/cfnlint/conditions/conditions.py;src/cfnlint/jsonschema/validators.py,src/cfnlint/conditions/conditions.py;src/cfnlint/jsonschema/validators.py
conan-io__conan-15504,conan/cli/commands/upload.py,good,good,conan/api/subapi/export.py;conan/cli/commands/export_pkg.py,conan/api/subapi/export.py;conan/cli/commands/export_pkg.py
conan-io__conan-15553,conan/cli/formatters/list/list.py,good,good,conan/api/model.py;conans/model/conan_file.py;conans/model/info.py,conan/api/model.py;conans/model/conan_file.py;conans/model/info.py
conan-io__conan-15564,conans/client/conf/config_installer.py,good,good,conans/model/requires.py,conans/model/requires.py
conan-io__conan-15573,conans/client/graph/graph.py,good,good,conan/cli/commands/graph.py;conans/client/graph/install_graph.py,conan/cli/commands/graph.py;conans/client/graph/install_graph.py
conan-io__conan-15626,conan/tools/microsoft/msbuild.py,good,good,conan/tools/microsoft/msbuilddeps.py,conan/tools/microsoft/msbuilddeps.py
deepset-ai__haystack-6889,haystack/components/retrievers/__init__.py,good,good,haystack/document_stores/in_memory/document_store.py,haystack/document_stores/in_memory/document_store.py
deepset-ai__haystack-6889,haystack/components/retrievers/in_memory/bm25_retriever.py,good,good,haystack/document_stores/in_memory/document_store.py,haystack/document_stores/in_memory/document_store.py
deepset-ai__haystack-7681,haystack/dataclasses/byte_stream.py,good,good,haystack/components/fetchers/link_content.py;haystack/components/routers/file_type_router.py;releasenotes/notes/enhanced-mime-type-handling-182fb64a0f5fb852.yaml,haystack/components/fetchers/link_content.py;haystack/components/routers/file_type_router.py;releasenotes/notes/enhanced-mime-type-handling-182fb64a0f5fb852.yaml
instructlab__instructlab-1639,src/instructlab/model/backends/vllm.py,good,good,src/instructlab/model/backends/backends.py,src/instructlab/model/backends/backends.py
keras-team__keras-19331,keras/layers/core/embedding.py,good,good,keras/layers/rnn/bidirectional.py,keras/layers/rnn/bidirectional.py
keras-team__keras-19826,keras/src/ops/__init__.py,good,good,keras/src/ops/numpy.py,keras/src/ops/numpy.py
keras-team__keras-19844,keras/src/backend/tensorflow/layer.py,good,good,keras/src/initializers/__init__.py;keras/src/layers/rnn/gru.py,keras/src/initializers/__init__.py;keras/src/layers/rnn/gru.py
matplotlib__matplotlib-27692,lib/matplotlib/patches.py,bad,bad,doc/users/next_whats_new/update_arrow_patch.rst;lib/matplotlib/patches.py;lib/matplotlib/patches.pyi,doc/users/next_whats_new/update_arrow_patch.rst;lib/matplotlib/patches.py;lib/matplotlib/patches.pyi
matplotlib__matplotlib-27818,lib/matplotlib/axes/_axes.py,bad,bad,lib/matplotlib/axes/_axes.py,lib/matplotlib/axes/_axes.py
matplotlib__matplotlib-27906,lib/matplotlib/backend_bases.py,good,good,lib/matplotlib/patheffects.py,lib/matplotlib/patheffects.py
matplotlib__matplotlib-27943,lib/matplotlib/axes/_axes.py,good,good,doc/api/next_api_changes/behavior/27943-AL.rst;lib/matplotlib/axes/_base.py,doc/api/next_api_changes/behavior/27943-AL.rst;lib/matplotlib/axes/_base.py
matplotlib__matplotlib-27943,lib/matplotlib/lines.py,good,good,doc/api/next_api_changes/behavior/27943-AL.rst;lib/matplotlib/axes/_base.py,doc/api/next_api_changes/behavior/27943-AL.rst;lib/matplotlib/axes/_base.py
