instance_id,flagged_path,oracle,manual,gold_files
aws-cloudformation__cfn-lint-3337,src/cfnlint/decode/decode.py,good,,src/cfnlint/rules/resources/iam/Permissions.py
aws-cloudformation__cfn-lint-3346,src/cfnlint/data/schemas/patches/extensions/all/aws_ec2_launchtemplate/__init__.py,good,,src/cfnlint/rules/functions/GetAttFormat.py
aws-cloudformation__cfn-lint-3372,src/cfnlint/rules/parameters/Types.py,good,,src/cfnlint/context/context.py
aws-cloudformation__cfn-lint-3402,src/cfnlint/rules/functions/FindInMap.py,good,,src/cfnlint/conditions/conditions.py;src/cfnlint/jsonschema/validators.py
conan-io__conan-15504,conan/cli/commands/upload.py,good,,conan/api/subapi/export.py;conan/cli/commands/export_pkg.py
conan-io__conan-15553,conan/cli/formatters/list/list.py,good,,conan/api/model.py;conans/model/conan_file.py;conans/model/info.py
conan-io__conan-15564,conans/client/conf/config_installer.py,good,,conans/model/requires.py
conan-io__conan-15573,conans/client/graph/graph.py,good,,conan/cli/commands/graph.py;conans/client/graph/install_graph.py
conan-io__conan-15626,conan/tools/microsoft/msbuild.py,good,,conan/tools/microsoft/msbuilddeps.py
deepset-ai__haystack-6889,haystack/components/retrievers/__init__.py,good,,haystack/document_stores/in_memory/document_store.py
deepset-ai__haystack-6889,haystack/components/retrievers/in_memory/bm25_retriever.py,good,,haystack/document_stores/in_memory/document_store.py
deepset-ai__haystack-7681,haystack/dataclasses/byte_stream.py,good,,haystack/components/fetchers/link_content.py;haystack/components/routers/file_type_router.py;releasenotes/notes/enhanced-mime-type-handling-182fb64a0f5fb852.yaml
instructlab__instructlab-1639,src/instructlab/model/backends/vllm.py,good,,src/instructlab/model/backends/backends.py
keras-team__keras-19331,keras/layers/core/embedding.py,good,,keras/layers/rnn/bidirectional.py
keras-team__keras-19826,keras/src/ops/__init__.py,good,,keras/src/ops/numpy.py
keras-team__keras-19844,keras/src/backend/tensorflow/layer.py,good,,keras/src/initializers/__init__.py;keras/src/layers/rnn/gru.py
matplotlib__matplotlib-27692,lib/matplotlib/patches.py,bad,,doc/users/next_whats_new/update_arrow_patch.rst;lib/matplotlib/patches.py;lib/matplotlib/patches.pyi
matplotlib__matplotlib-27818,lib/matplotlib/axes/_axes.py,bad,,lib/matplotlib/axes/_axes.py
matplotlib__matplotlib-27906,lib/matplotlib/backend_bases.py,good,,lib/matplotlib/patheffects.py
matplotlib__matplotlib-27943,lib/matplotlib/axes/_axes.py,good,,doc/api/next_api_changes/behavior/27943-AL.rst;lib/matplotlib/axes/_base.py
matplotlib__matplotlib-27943,lib/matplotlib/lines.py,good,,doc/api/next_api_changes/behavior/27943-AL.rst;lib/matplotlib/axes/_base.py
pdm-project__pdm-2743,src/pdm/formats/poetry.py,bad,,news/2665.bugfix.md;src/pdm/formats/base.py;src/pdm/formats/poetry.py
pdm-project__pdm-2781,src/pdm/project/config.py,good,,news/2779.bugfix.md;src/pdm/project/core.py
pdm-project__pdm-2886,src/pdm/cli/commands/update.py,bad,,news/2885.bugfix.md;src/pdm/cli/commands/update.py
pdm-project__pdm-3039,src/pdm/models/requirements.py,bad,,news/3038.bugfix.md;pdm.lock;pyproject.toml;src/pdm/models/candidates.py;src/pdm/models/finder.py;src/pdm/models/requirements.py;src/pdm/models/specifiers.py
pvlib__pvlib-python-1971,docs/examples/irradiance-transposition/plot_ghi_transposition.py,good,,docs/sphinx/source/whatsnew/v0.10.4.rst;pvlib/irradiance.py
pvlib__pvlib-python-2019,pvlib/tests/test_pvsystem.py,good,,docs/sphinx/source/whatsnew/v0.10.5.rst;pvlib/pvsystem.py
pvlib__pvlib-python-2041,pvlib/tools.py,bad,,docs/sphinx/source/reference/effects_on_pv_system_output/spectrum.rst;docs/sphinx/source/whatsnew/v0.11.0.rst;pvlib/spectrum/__init__.py;pvlib/spectrum/mismatch.py;pvlib/tools.py
pvlib__pvlib-python-2124,pvlib/irradiance.py,good,,docs/sphinx/source/reference/airmass_atmospheric.rst;docs/sphinx/source/whatsnew/v0.11.1.rst;pvlib/atmosphere.py
pvlib__pvlib-python-2217,pvlib/tests/test_clearsky.py,good,,docs/sphinx/source/whatsnew/v0.11.1.rst;pvlib/clearsky.py
pylint-dev__pylint-9504,pylint/checkers/imports.py,good,,.pyenchant_pylint_custom_dict.txt;doc/user_guide/configuration/all-options.rst;doc/whatsnew/fragments/9442.other;examples/pylintrc;examples/pyproject.toml;pylint/lint/base_options.py;pylint/lint/pylinter.py;pylintrc
pylint-dev__pylint-9534,pylint/checkers/imports.py,good,,doc/whatsnew/fragments/3501.feature;pylint/checkers/utils.py
pylint-dev__pylint-9592,pylint/lint/pylinter.py,good,,doc/whatsnew/fragments/9584.false_negative;pylint/checkers/classes/class_checker.py
