instance_id,path,hunk_start,hunk_end,oracle,manual,context
aws-cloudformation__cfn-lint-3390,src/cfnlint/jsonschema/_resolvers_cfn.py,313,319,sub;<module>;if_,sub;<module>;if_,"310:             )
311:             yield from _sub_string(resolved_validator, string)
312: 
313:         return
314: 
315:     # its a string
316:     yield from _sub_string(validator, instance)
317: 
318: 
319: def if_(validator: Validator, instance: Any) -> ResolutionResult:
320:     if not validator.is_type(instance, ""array""):
321:         return
322: "
aws-cloudformation__cfn-lint-3442,src/cfnlint/data/schemas/extensions/aws_rds_dbinstance/aurora_exclusive.json,1,7,<module>,<module>,"1: {
2:  ""additionalProperties"": true,
3:  ""description"": ""When creating an aurora DBInstance don't specify 'AllocatedStorage', 'BackupRetentionPeriod', 'CopyTagsToSnapshot', 'DeletionProtection', 'EnableIAMDatabaseAuthentication', 'MasterUserPassword', or 'StorageEncrypted'"",
4:  ""else"": {},
5:  ""if"": {
6:   ""properties"": {
7:    ""Engine"": {
8:     ""pattern"": ""(aurora|aurora-mysql|aurora-postgresql)"",
9:     ""type"": ""string""
10:    }"
aws-cloudformation__cfn-lint-3498,src/cfnlint/conditions/conditions.py,295,304,Conditions.check_implies;Conditions;Conditions.build_scenerios_on_region,Conditions.check_implies;Conditions;Conditions.build_scenerios_on_region,"292:             return False
293:         except KeyError:
294:             # KeyError is because the listed condition doesn't exist because of bad
295:             #  formatting or just the wrong condition name
296:             return True
297: 
298:     @lru_cache()
299:     def build_scenerios_on_region(
300:         self, condition_name: str, region: str
301:     ) -> Iterator[bool]:
302:         """"""Based on a region validate if the condition_name could be true
303: 
304:         Args:
305:             condition_name (str): The name of the condition we are validating against
306:             region (str): the name of the region
307: "
aws-cloudformation__cfn-lint-3969,src/cfnlint/data/schemas/patches/extensions/all/aws_cloudwatch_alarm/manual.json,36,48,<module>,<module>,"33:     ""Threshold""
34:    ]
35:   }
36:  },
37:  {
38:   ""op"": ""add"",
39:   ""path"": ""/properties/AlarmActions/items/maximum"",
40:   ""value"": 1024
41:  },
42:  {
43:   ""op"": ""add"",
44:   ""path"": ""/properties/AlarmActions/items/minimum"",
45:   ""value"": 1
46:  },
47:  {
48:   ""op"": ""add"",
49:   ""path"": ""/properties/AlarmActions/maxItems"",
50:   ""value"": 5
51:  },"
aws-cloudformation__cfn-lint-3969,src/cfnlint/data/schemas/patches/extensions/all/aws_s3_bucket/manual.json,52,56,<module>,<module>,"49:     ""AbortIncompleteMultipartUpload""
50:    ],
51:    ""ObjectSizeLessThan"": [
52:     ""AbortIncompleteMultipartUpload""
53:    ]
54:   }
55:  }
56: ]"
aws-cloudformation__cfn-lint-3981,src/cfnlint/data/schemas/patches/extensions/all/aws_ec2_localgatewayroute/format.json,0,0,<module>,<module>,(file absent at base_commit)
aws-cloudformation__cfn-lint-4008,src/cfnlint/data/schemas/other/conditions/conditions.json,1,7,<module>,<module>,"1: {
2:  ""additionalProperties"": false,
3:  ""patternProperties"": {
4:   ""^[a-zA-Z0-9&]{1,255}$"": {
5:    ""type"": ""boolean""
6:   }
7:  },
8:  ""properties"": {},
9:  ""type"": ""object""
10: }"
conan-io__conan-15513,conan/tools/files/copy_pattern.py,106,115,_copy_files,_copy_files,"103:     """"""
104:     copied_files = []
105:     for filename in files:
106:         abs_src_name = os.path.join(src, filename)
107:         filename = filename if keep_path else os.path.basename(filename)
108:         abs_dst_name = os.path.normpath(os.path.join(dst, filename))
109:         try:
110:             os.makedirs(os.path.dirname(abs_dst_name))
111:         except Exception:
112:             pass
113:         if os.path.islink(abs_src_name):
114:             linkto = os.readlink(abs_src_name)  # @UndefinedVariable
115:             try:
116:                 os.remove(abs_dst_name)
117:             except OSError:
118:                 pass"
conan-io__conan-16022,conan/api/model.py,47,52,MultiPackagesList.__init__;MultiPackagesList;MultiPackagesList.__getitem__,MultiPackagesList.__init__;MultiPackagesList;MultiPackagesList.__getitem__,"44: 
45: 
46: class MultiPackagesList:
47:     def __init__(self):
48:         self.lists = {}
49: 
50:     def __getitem__(self, name):
51:         try:
52:             return self.lists[name]
53:         except KeyError:
54:             raise ConanException(f""'{name}' doesn't exist is package list"")
55: "
conan-io__conan-16415,conan/cli/formatters/graph/graph.py,126,133,format_graph_html;<module>;format_graph_dot,format_graph_html;<module>;format_graph_dot,"123:         ""should_highlight_node"": lambda node: False
124:     }
125:     if isinstance(graph.error, GraphConflictError):
126:         error[""type""] = ""conflict""
127:         error[""should_highlight_node""] = lambda node: node.id == graph.error.node.id
128:     cli_out_write(_render_graph(graph, error, template, template_folder))
129:     if graph.error:
130:         raise graph.error
131: 
132: 
133: def format_graph_dot(result):
134:     graph = result[""graph""]
135:     conan_api = result[""conan_api""]
136: "
